,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,0.0,0.0,8.881784197001253e-17,0.0,5.422705895466585e-289,26.9789121918554,3.305055861695201e-284,5.247718117302345e-05,0.0,0.0033515013488178247,0.08740940906961918,-12516.66305511192,0.0,0.0,0.0,0.0,-6.276834631855089,0.0,-3.861903493838028,-6.675273425926557,-6.479430516426468,-1.0316284533140672,-3.2885788530116495,0.0,0.0,0.0,-1.8013032484905487,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,32.8534954245674,0.0011678633928246711
std,0.0,0.0,1.7763568394002506e-16,0.0,0.0,0.28680236220610017,0.0,5.417324074327851e-05,0.0,0.0019672623485831346,0.05511776985307898,221.24268773163104,0.0,0.0,0.0,0.0,2.1739993261176616,0.0,0.001531505305035433,2.4254033239192228,2.283910009263009,3.209545652233866e-10,0.07045849094759969,0.0,0.0,0.0,3.803211808414064e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.983045505240206,0.002011945809757791
worst,0.0,0.0,4.440892098500626e-16,0.0,1.8211990930643235e-287,27.863523516159724,1.6525267164953918e-282,0.0002490189086488722,0.0,0.00920893806194686,0.2551042691902331,-11114.944400973152,0.0,0.0,0.0,0.0,-5.055041679099453,0.0,-3.8568387204980716,-5.087584516084585,-5.055036469059186,-1.0316284516032659,-3.0297348682724268,0.0,0.0,0.0,-1.8013017828835958,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,70.4362214011354,0.009001137358439874
best,0.0,0.0,0.0,0.0,0.0,26.40219875055356,0.0,2.137946330207988e-07,0.0,0.0008198455679089558,0.01771587316815571,-12569.486618132489,0.0,0.0,0.0,0.0,-10.153040434824064,0.0,-3.862782130159031,-10.402552429056543,-10.153113174760843,-1.0316284534896356,-3.3219934477719035,0.0,0.0,0.0,-1.8013034100813488,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,11.6616605042973,0.0
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,2.1803851556777953,2.46948224067688,3.170693187713623,2.9833391904830933,2.4552104806900026,2.5752313804626463,2.1390024709701536,2.8855382108688357,2.4371144866943357,5.656473727226257,5.02726438999176,2.288108868598938,2.2899654150009154,3.219956760406494,4.213856344223022,3.34863627910614,5.92473819732666,2.509473361968994,5.442600798606873,7.16393205165863,5.855371088981628,2.5637505865097046,5.535404214859009,3.5343755531311034,2.4971557903289794,2.3689108800888063,2.7918304777145386,2.292715368270874,2.484770140647888,2.420129780769348,2.398081398010254,2.88301109790802,2.4058165645599363,2.670818886756897,2.4542020416259764,3.9144308185577392
